TimeStep_No,Roscoff,StMalo,StHelierJersey,Cherbourg,LeHavre,Antifer,Dieppe,Boulogne,Calais,Dunkerque,Nieuwpoort,Ostende,Blankenberge,Zeebruges,Terneuzen,Bath,Hansweert,Vlissingen,Westkapelle,Roompotbuiten,Europlatform,BrouwershavenscheGat8,LichteilandGoeree,Haringvliet,Haringvlietsluizen,HoekvanHolland,Scheveningen,Noordwijk,IJmuiden,Pettenzuid,K13Alpha,DenHelder,Texel,DenOever,Kornwerderzand,Harlingen,Vlielandhaven,WestTerschelling,Terschelling,Nes,Wierumergronden,Schiermannskoog,Lauwersoog,Huibertgat,BorkumS,BorkumF,Emshoern,Eemshaven,Dukegat,Delfzijl
06/01/2015 00:00:00,-3.07734179496765,-2.07851958274841,-1.44877445697784,0.915410101413727,2.87296581268311,3.02230525016785,3.89922285079956,3.45381593704224,2.34120917320251,1.39577686786652,0.699823319911957,0.382308155298233,0.096568800508976,-0.0400271005928516,-0.572200179100037,-0.657313704490662,-0.687893450260162,-0.371647030115128,-0.279535293579102,-0.411601006984711,-0.237780675292015,-0.572183191776276,-0.49613630771637,-0.605316400527954,0.567952990531921,-0.719237744808197,-0.748318612575531,-0.760475873947144,-0.782491564750671,-0.743094384670258,-0.34117802977562,-0.411377489566803,-0.52408891916275,0.304835885763168,0.559788107872009,0.740297853946686,0.0840700790286064,0.498263031244278,0.0636206939816475,1.03450906276703,0.610120356082916,1.15683269500732,1.09932541847229,0.967300832271576,1.21398496627808,1.33058333396912,1.39098346233368,1.40717613697052,1.43339896202087,1.44436550140381
06/01/2015 00:10:00,-3.2377917766571,-2.40939736366272,-1.76692867279053,0.738465666770935,2.84907245635986,3.02316284179688,3.99779677391052,3.61491584777832,2.54192852973938,1.67172682285309,0.931909263134003,0.581504285335541,0.256528377532959,0.0914749950170517,-0.459036260843277,-0.495110630989075,-0.549723744392395,-0.274003773927689,-0.18303844332695,-0.330331206321716,-0.204004466533661,-0.510955810546875,-0.450689643621445,-0.560463130474091,0.568151473999023,-0.676900744438171,-0.729202806949615,-0.759219825267792,-0.804361820220947,-0.791867434978485,-0.408090054988861,-0.480383366346359,-0.595120310783386,0.237479314208031,0.491473197937012,0.678848385810852,0.00176893267780542,0.417570114135742,-0.0228242333978415,0.96606034040451,0.517726600170135,1.1010810136795,1.03683638572693,0.886085033416748,1.16550433635712,1.3017110824585,1.37581551074982,1.39392232894897,1.43060219287872,1.45411622524261
06/01/2015 00:20:00,-3.36243653297424,-2.72041893005371,-2.09476900100708,0.589681804180145,2.81141877174377,3.00984287261963,4.10307502746582,3.73737525939941,2.69256162643433,1.90537619590759,1.16135144233704,0.807065904140472,0.4310502409935,0.243045374751091,-0.332364231348038,-0.376418590545654,-0.397090017795563,-0.167522385716438,-0.0758199989795685,-0.248406037688255,-0.167503401637077,-0.443520814180374,-0.402347773313522,-0.507357180118561,0.568361222743988,-0.640438914299011,-0.70640641450882,-0.750420331954956,-0.8177090883255,-0.835291802883148,-0.474627614021301,-0.545313715934753,-0.660625576972961,0.169470280408859,0.423636198043823,0.616786003112793,-0.0753296688199043,0.335234612226486,-0.104343846440315,0.89426064491272,0.421623259782791,1.03798687458038,0.96813976764679,0.795198202133179,1.10375940799713,1.26007997989655,1.3478090763092,1.36815011501312,1.41943418979645,1.45804989337921
06/01/2015 00:30:00,-3.44194793701172,-3.01620817184448,-2.39714670181274,0.437518388032913,2.784743309021,2.97093081474304,4.16323661804199,3.78804874420166,2.81909441947937,2.11046886444092,1.39638531208038,1.03990340232849,0.61941385269165,0.411645114421844,-0.214076861739159,-0.246569484472275,-0.251314580440521,-0.0492119714617729,0.0449893027544022,-0.169155955314636,-0.125794723629951,-0.373614549636841,-0.350093513727188,-0.454509973526001,0.568603575229645,-0.61634749174118,-0.680270135402679,-0.738097906112671,-0.823105275630951,-0.871756196022034,-0.539158880710602,-0.606461226940155,-0.721842288970947,0.101426146924496,0.356536328792572,0.554524838924408,-0.152978807687759,0.252154231071472,-0.184251204133034,0.821939706802368,0.323882162570953,0.970579087734222,0.896396279335022,0.69697231054306,1.0317314863205,1.20515239238739,1.30687391757965,1.32973694801331,1.39662551879883,1.45606875419617
06/01/2015 00:40:00,-3.49650526046753,-3.30689001083374,-2.67150139808655,0.239993333816528,2.7342517375946,2.91142225265503,4.20685291290283,3.84550189971924,2.89643359184265,2.2604706287384,1.62149119377136,1.25875759124756,0.830291867256165,0.593833804130554,-0.088227815926075,-0.138003960251808,-0.116497024893761,0.0784250050783157,0.17658443748951,-0.0859388262033463,-0.0804858952760696,-0.304341375827789,-0.292287260293961,-0.391739577054977,0.568873643875122,-0.553795039653778,-0.652684807777405,-0.720548033714294,-0.823514401912689,-0.902073323726654,-0.601603090763092,-0.664216637611389,-0.781727075576782,0.0333273634314537,0.289531260728836,0.492108464241028,-0.221939355134964,0.171863779425621,-0.263027638196945,0.747683227062225,0.223829939961433,0.898404181003571,0.821672916412354,0.591312170028687,0.950238943099976,1.13868951797485,1.2530369758606,1.27738761901855,1.3609025478363,1.44722628593445
06/01/2015 00:50:00,-3.53588175773621,-3.61138296127319,-2.95990109443665,0.043884489685297,2.70074415206909,2.84501433372498,4.2156138420105,3.89577698707581,2.9560329914093,2.37890028953552,1.82981157302856,1.48406457901001,1.05513966083527,0.792120277881622,0.0479835234582424,-0.0227294825017452,0.0182842314243317,0.225590005517006,0.327945053577423,0.0103068621829152,-0.0302466508001089,-0.223418995738029,-0.230010956525803,-0.327613711357117,0.569194316864014,-0.53254359960556,-0.617528200149536,-0.699261248111725,-0.817867994308472,-0.92612361907959,-0.661916792392731,-0.718987762928009,-0.837032854557037,-0.0349341183900833,0.223184451460838,0.430006623268127,-0.296178102493286,0.0917642265558243,-0.340402632951736,0.671227872371674,0.124165527522564,0.823929011821747,0.745703876018524,0.480693757534027,0.862151563167572,1.06269526481628,1.1877156496048,1.2127320766449,1.31197190284729,1.4273008108139
06/01/2015 01:00:00,-3.5308825969696,-3.90564918518066,-3.22891283035278,-0.123798303306103,2.62561416625977,2.77279615402222,4.1477518081665,3.90650248527527,3.00298023223877,2.47630596160889,1.99839341640472,1.68942630290985,1.26003098487854,1.00501239299774,0.191446632146835,0.0974404215812683,0.142623960971832,0.388469040393829,0.50002384185791,0.114777572453022,0.0246978718787432,-0.140684023499489,-0.159158825874329,-0.258475482463837,0.569544553756714,-0.469523668289185,-0.58119398355484,-0.675303757190704,-0.809927225112915,-0.944572448730469,-0.717914998531342,-0.769968032836914,-0.88908851146698,-0.102366581559181,0.156798630952835,0.36842143535614,-0.372173428535461,0.0131490658968687,-0.41900834441185,0.595759391784668,0.0239395089447498,0.747971534729004,0.667647063732147,0.365730494260788,0.76854020357132,0.979803323745728,1.11311161518097,1.13791263103485,1.2507336139679,1.39602887630463
06/01/2015 01:10:00,-3.50074553489685,-4.18506860733032,-3.47571682929993,-0.284184604883194,2.5325882434845,2.65069842338562,4.04156589508057,3.89919972419739,3.03330063819885,2.54072260856628,2.11181282997131,1.8592700958252,1.46716856956482,1.21624374389648,0.332902759313583,0.226684764027596,0.267023026943207,0.571463108062744,0.682233870029449,0.227455586194992,0.0859190002083778,-0.0521366782486439,-0.0840675383806229,-0.179935231804848,0.569975674152374,-0.427943289279938,-0.542856514453888,-0.646291494369507,-0.796939611434937,-0.955674052238464,-0.767293572425842,-0.816307127475739,-0.937130510807037,-0.169575393199921,0.0914135426282883,0.307337760925293,-0.445832222700119,-0.0651805400848389,-0.500764846801758,0.519100844860077,-0.0749239921569824,0.672163605690002,0.588173866271973,0.248751759529114,0.667823731899261,0.891268730163574,1.03088510036469,1.05444765090942,1.17916297912598,1.35349977016449
06/01/2015 01:20:00,-3.45202302932739,-4.4171142578125,-3.69198274612427,-0.488193511962891,2.41606521606445,2.51166272163391,3.9043436050415,3.85498452186584,3.03934097290039,2.62418174743652,2.1968948841095,1.98281514644623,1.65037333965302,1.41305065155029,0.496100723743439,0.346703708171844,0.39155524969101,0.76921272277832,0.877362906932831,0.351389229297638,0.155141696333885,0.0469532497227192,-0.00319116818718612,-0.0981888025999069,0.570551812648773,-0.370946168899536,-0.496081858873367,-0.615922629833221,-0.780429244041443,-0.95966249704361,-0.810299932956696,-0.857013285160065,-0.980402290821075,-0.235536158084869,0.0259697195142508,0.247639328241348,-0.507525742053986,-0.144093066453934,-0.582914233207703,0.441056340932846,-0.172722920775414,0.594996929168701,0.506631672382355,0.131695374846458,0.561479866504669,0.796786963939667,0.942743241786957,0.964586615562439,1.10046637058258,1.30099761486053
06/01/2015 01:30:00,-3.36656618118286,-4.60378074645996,-3.87233710289001,-0.663659989833832,2.28987717628479,2.3402304649353,3.68717956542969,3.75712084770203,3.00401306152344,2.62643361091614,2.25694990158081,2.06091976165771,1.7882422208786,1.59236466884613,0.668456017971039,0.464368224143982,0.516325294971466,0.978326022624969,1.08384084701538,0.491960644721985,0.235199943184853,0.154593527317047,0.089555025100708,-0.00497486302629113,0.571248710155487,-0.290873944759369,-0.445210188627243,-0.580035924911499,-0.7587531208992,-0.958276927471161,-0.846234798431396,-0.891888976097107,-1.01966941356659,-0.300711840391159,-0.0384440198540688,0.189098715782166,-0.578202128410339,-0.220077827572823,-0.662798643112183,0.362062335014343,-0.26820781826973,0.517183125019073,0.424020737409592,0.0155470697209239,0.451214998960495,0.694809794425964,0.848897278308868,0.869159936904907,1.01684248447418,1.23973023891449
